VHCLE_TY_NM,VHCLE_FUEL_NM,VHCLE_NMPR_CO,VHCLE_MAKR_NM,USE_DT,COST_D
SUV/승합,전기,4,국산,겨울,23900
소형,휘발유,5,국산,봄,42264.93506
SUV/승합,휘발유,5,국산,겨울,51822.22222
중형,전기,5,국산,겨울,52166.03774
중형,LPG,5,국산,겨울,40120.75472
SUV/승합,휘발유,5,국산,겨울,26181.81818
소형,휘발유,5,국산,겨울,23118.98734
SUV/승합,경유,9,국산,겨울,73263.15789
중형,LPG,5,국산,겨울,38400
중형,휘발유,5,국산,겨울,23800
중형,LPG,5,국산,겨울,21647.05882
고급,휘발유,5,국산,겨울,44015.09434
중형,LPG,5,국산,겨울,21473.68421
소형,휘발유,5,국산,겨울,12889.88764
SUV/승합,경유,7,국산,겨울,63951.21951
SUV/승합,전기,5,국산,겨울,23261.53846
중형,LPG,5,국산,겨울,46285.71429
중형,LPG,5,국산,겨울,41552.94118
SUV/승합,하이브리드,5,국산,봄,32832
중형,LPG,5,국산,겨울,21230.76923
중형,LPG,5,국산,겨울,16879.12088
소형,휘발유,5,국산,겨울,14953.84615
소형,휘발유,5,국산,겨울,23184.90566
중형,휘발유,5,국산,겨울,19109.43396
SUV/승합,경유,11,국산,겨울,81507.69231
중형,휘발유,5,국산,겨울,16800
SUV/승합,경유,9,국산,봄,37333.33333
중형,LPG,5,국산,겨울,28842.85714
중형,LPG,5,국산,겨울,14507.46269
중형,LPG,5,국산,겨울,14973.13433
중형,LPG,5,국산,겨울,28800
SUV/승합,전기,4,국산,겨울,27022.22222
중형,전기,5,국산,겨울,36000
SUV/승합,경유,5,국산,겨울,27284.21053
SUV/승합,경유,7,국산,겨울,31500
SUV/승합,전기,4,국산,겨울,27022.22222
SUV/승합,경유,9,국산,봄,37500
중형,LPG,5,국산,겨울,29700
SUV/승합,경유,5,국산,겨울,43146.06742
중형,휘발유,5,국산,겨울,26880
소형,전기,4,수입,겨울,26600
